DISTRICT_CODE,POP_VALUE
90000,1.982.097
90100,16.620
90200,108.269
90300,96.756
90400,33.633
90500,55.018
90600,31.423
90700,31.581
90800,24.674
90900,42.206
91000,218.415
91100,109.038
91200,100.281
91300,55.568
91400,96.828
91500,76.109
91600,102.444
91700,56.033
91800,51.559
91900,75.517
92000,85.690
92100,183.895
92200,212.658
92300,117.882
