FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,FLAECHE,OEFF_ZEITEN,SPIELEN_IM_PARK,WASSER_IM_PARK,HUNDE_IM_PARK,TELEFON,WEBLINK1,SE_ANNO_CAD_DATA
PARKINFOOGD.1906455,1906455,POINT (16.33832878415285 48.244737955616564),Olympiapark,19,13.458 m²,"Ballspielplatz: Okt-Mär: 7:00-19:00, Apr-Sep: 7:00-22:00",Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906456,1906456,POINT (16.359121894719753 48.25307851429133),Heiligenstädter Park,19,51.805 m²,0:00-24:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906457,1906457,POINT (16.396771001417967 48.24524150146128),PA Am Bruckhaufen,21,1.573 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906458,1906458,POINT (16.348531704670435 48.2323655219078),Währinger Park,18,48.190 m²,0:00-24:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906459,1906459,POINT (16.406570018408377 48.247220673349524),PA Dragonerhäufel,21,36.304 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906460,1906460,POINT (16.249561970821997 48.202202773737994),Ferdinand-Wolf-Park,14,23.669 m²,0:00-24:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906461,1906461,POINT (16.308582341907094 48.22173991377137),Kongreßpark,16,51.908 m²,"Ballspiel:März-Nov v. Mo-Fr:07:00-20:00,Sa+So:09:00-20:30,Hundezone:06:00-22:00,Dez-Feb:keine Sperre",Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906556,1906556,POINT (16.353067474134196 48.153223256437805),Johann-Benda-Park,10,52.838 m²,0:00-24:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906557,1906557,POINT (16.378252642007627 48.17929258150084),Humboldtpark,10,2.970 m²,06:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906558,1906558,POINT (16.392415029247278 48.14018435212557),Hubert-Blamauer-Park,10,7.883 m²,Ballspielkäfig:06:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906559,1906559,POINT (16.394269387581904 48.15451888931523),PA Holzknechtstraße,10,2.125 m²,06:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906560,1906560,POINT (16.377527099456046 48.15618211983099),PA Holeyplatz,10,2.073 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906561,1906561,POINT (16.377796237175303 48.15856793619274),PA Saligergasse,10,32.352 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906562,1906562,POINT (16.377675442424977 48.166725229819086),Hebbelpark,10,4.030 m²,Hundezone+Spielplatz:06:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906563,1906563,POINT (16.358767316967437 48.172420481534196),Fortunapark,10,11.086 m²,06:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906564,1906564,POINT (16.358710664795215 48.1779221751642),PA Knöllgasse,10,2.563 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906565,1906565,POINT (16.388248282370125 48.164651159702686),PA Fischhofgasse,10,7.185 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906566,1906566,POINT (16.381062369906555 48.15472337095027),PA Fingergasse,10,7.428 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906567,1906567,POINT (16.349640695310445 48.16992885304362),PA Eschenallee,10,3.020 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906568,1906568,POINT (16.368880032193704 48.177947249201914),PA Erlachplatz,10,4.467 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906569,1906569,POINT (16.388456854222348 48.148799280887935),PA Bergtaidingweg,10,16.622 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906570,1906570,POINT (16.37129532753975 48.173083953922436),Arthaberpark,10,10.567 m²,Hundezone:06:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906571,1906571,POINT (16.377809091585455 48.17053484433649),Antonspark,10,11.523 m²,Ballspielkäfig:06:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906572,1906572,POINT (16.360325962567323 48.17687743968128),Alois-Greb-Park,10,4.959 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906573,1906573,POINT (16.41532453869378 48.179424349860646),PA Eisteichstraße,11,3.855 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906574,1906574,POINT (16.410558374527607 48.17477106899638),PA Drischützgasse,11,771 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906575,1906575,POINT (16.46602250909132 48.151812532687394),PA Csokorgasse,11,6.093 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906576,1906576,POINT (16.40596565399769 48.1756923263548),Brehmpark,11,799 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906577,1906577,POINT (16.414532360609687 48.17074013144775),Braunhuberpark,11,4.862 m²,Hundezone:06:00-20:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906578,1906578,POINT (16.424920004136478 48.15692588829554),PA Pretschgasse,11,6.311 m²,0:00-24:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906579,1906579,POINT (16.41791139275458 48.16735607856773),PA Albin-Hirsch-Platz,11,3.229 m²,0:00-24:00,Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906580,1906580,POINT (16.485252258970092 48.15969360247715),PA Mannswörther Straße,11,1.940 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906581,1906581,POINT (16.381938417497246 48.17003929867723),PA Wieselburger Gasse,10,2.801 m²,0:00-24:00,Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906582,1906582,POINT (16.35973908892006 48.15263884235391),PA Wienerfeldsiedlung,10,16.179 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906583,1906583,POINT (16.379601810819928 48.17652647552656),PA Wielandplatz,10,4.413 m²,6:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906584,1906584,POINT (16.365522504079866 48.18065979271313),Waldmüllerpark,10,39.191 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906585,1906585,POINT (16.373482473725897 48.16999444977244),PA Suchenwirtplatz,10,2.405 m²,Ballspielkäfig: 6:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906586,1906586,POINT (16.380050192022487 48.17802111650953),PA Sonnwendgasse,10,847 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906587,1906587,POINT (16.37923591559346 48.16498496515775),PA Schleiergasse,10,11.267 m²,0:00-24:00,Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906620,1906620,POINT (16.462631202655906 48.15629486387708),Hofgartel,11,19.635 m²,6:00-20:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906621,1906621,POINT (16.419392148866077 48.173829031753904),PA Krötzlergasse,11,924 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906622,1906622,POINT (16.41841290999708 48.17900235971811),PA Kopalgasse,11,2.840 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906623,1906623,POINT (16.411978613565484 48.18157783014881),Hyblerpark,11,27.361 m²,Hundezone:06:00-20:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906624,1906624,POINT (16.418199201374193 48.177444529950634),PA Hutterergasse,11,7.433 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906625,1906625,POINT (16.4228277738064 48.16941514401476),PA Kobelgasse (Historischer Friedhof),11,1.057 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906626,1906626,POINT (16.410055191224366 48.17224934280246),Herderpark,11,40.468 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906627,1906627,POINT (16.41846695763738 48.168953236377625),PA Haugerstraße,11,4.751 m²,Ballspielkäfig:06:00-20:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906628,1906628,POINT (16.471575941922 48.160045945810886),Hans-Paulas-Park,11,10.191 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906629,1906629,POINT (16.289400675732534 48.18096928298978),PA Küniglberg,13,104.051 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906630,1906630,POINT (16.368646837961418 48.24528806059198),Anton-Schmid-Promenade/AP,20,32.013 m²,0:00-24:00,Nein,Nein,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906631,1906631,POINT (16.334976067035356 48.19155362238028),Dingelstedtpark,15,456 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906632,1906632,POINT (16.37173326544688 48.25070238236352),Donaukanalpromenade,19,14.706 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906633,1906633,POINT (16.336429351683556 48.19577067402611),GA Langauergasse,15,1.514 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906634,1906634,POINT (16.34110588030579 48.20938277831047),GA Lisette-Model-Platz,8,772 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906635,1906635,POINT (16.44391344221061 48.25435388601345),GA Eipeldauer Straße,22,1.066 m²,0:00-24:00,Nein,Nein,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906636,1906636,POINT (16.381127509188723 48.222845886614046),GA Lili-Grün-Platz,2,603 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906637,1906637,POINT (16.385881217281018 48.22516100316509),Else-Feldmann-Park,2,3.438 m²,6:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906638,1906638,POINT (16.47417123371496 48.23959172309577),Blumengärten Hirschstetten,22,83.518 m²,Sommer Di-So 9-18,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906639,1906639,POINT (16.310937005674973 48.24385893991643),PA Starkfriedgasse,19,2.206 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906640,1906640,POINT (16.498937974893852 48.251323975376756),GA Breitenleer Straße,22,1.736 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906641,1906641,POINT (16.392125798787944 48.19177505604257),Leon-Zelman-Park,3,12.309 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906642,1906642,POINT (16.32582084876173 48.187082783946074),PA Dreihausgasse,15,1.346 m²,6:30-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906643,1906643,POINT (16.32919813979013 48.19017830460035),Dadlerpark,15,9.708 m²,Ballspielkäfig+Hundezone: 6:00-22:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906644,1906644,POINT (16.325676692152424 48.18860098569838),Braunhirschenpark,15,4.558 m²,"Ballspielkäfig: Nov-März: 7:00-19:00, Apr-Okt: 7:00-21:00",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906645,1906645,POINT (16.32595256372142 48.21270838822061),Adele-Jellinek-Park,16,3.115 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
