FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,FLAECHE,OEFF_ZEITEN,SPIELEN_IM_PARK,WASSER_IM_PARK,HUNDE_IM_PARK,TELEFON,WEBLINK1,SE_ANNO_CAD_DATA
PARKINFOOGD.1906260,1906260,POINT (16.280936617810152 48.19385042732192),PA Guldengasse,14,1.174 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906261,1906261,POINT (16.24487559504883 48.21409821263139),PA Genossenschaftsstraße,14,4.305 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906262,1906262,POINT (16.244647262233002 48.20764104989315),Franz-Sauer-Park,14,2.015 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906263,1906263,POINT (16.37799606151623 48.21421893501848),Manes-Sperber-Park,2,3.084 m²,Ballspielkäfig: 6:30-20:30,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906264,1906264,POINT (16.373511562929092 48.22186126445952),Dora-Schimanko-Park,2,1.450 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906265,1906265,POINT (16.3822994719433 48.2151115173449),PA Große Mohrengasse,2,258 m²,0:00-24:00,Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906266,1906266,POINT (16.411037309434004 48.2177154981914),Elisabeth-Ben David-Hindler-Park,2,5.975 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906267,1906267,POINT (16.379931616733547 48.20498726882269),Stadtpark,1,58.903 m²,0:00-24:00,Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906268,1906268,POINT (16.365247397523575 48.20067666348133),PA Secession,1,4.801 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906269,1906269,POINT (16.365485850535592 48.20210167130985),Schillerpark,1,6.839 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906270,1906270,POINT (16.371589610928343 48.214442777159256),Rudolfspark,1,4.304 m²,6:20-22:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906271,1906271,POINT (16.359733778367787 48.21187270319017),Rathauspark,1,38.446 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906272,1906272,POINT (16.36735366290017 48.21440318040201),Hermann-Gmeiner-Park,1,4.121 m²,Ballspielkäfig: 6:15-21:45,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906273,1906273,POINT (16.358411312767252 48.20693337570086),Grete-Rehor-Park,1,7.006 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906274,1906274,POINT (16.356007929259444 48.211006615107856),PA Friedrich-Schmidt-Platz,1,5.751 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906275,1906275,POINT (16.373040487610904 48.21529506778153),PA Franz-Josefs-Kai,1,2.646 m²,0:00-24:00,Nein,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906276,1906276,POINT (16.37703271579569 48.20194440292351),PA Beethovenplatz,1,4.003 m²,Ballspielplatz: 6:00-21:30,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906277,1906277,POINT (16.36520676278142 48.1947274613021),Johannes-Diodato-Park,4,333 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906278,1906278,POINT (16.36775427255974 48.193078062847306),Ernst-Jandl-Park,4,529 m²,"Okt-März: 7:30-20:00, Apr-Sep: 6:15-21:00",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906279,1906279,POINT (16.3680385238902 48.18615946644103),Alois-Drasche-Park,4,15.875 m²,"Ballspielkäfig: Okt-März: 7:45-21:00, Apr-Sep: 6:45-22:00",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906280,1906280,POINT (16.39166022431254 48.19972536537159),PA Ziehrerplatz,3,1.980 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906281,1906281,POINT (16.396834639373115 48.185831455608366),Ilija-Jovanovic-Park,3,1.763 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906282,1906282,POINT (16.395079016732073 48.21014202720084),Hundertwasser-Promenade,3,25.974 m²,Hundezone: 07:00-21:00,Nein,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906283,1906283,POINT (16.398628659105263 48.19123466662366),Waisenhauspark,3,5.266 m²,"Ballspielkäfig: Okt-März: 7:30-19:30, Apr-Sep: 7:30-20:00",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906284,1906284,POINT (16.38634829830574 48.19551787223998),PA Ungargasse,3,906 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906285,1906285,POINT (16.40199555135588 48.18277286853821),Friedhof St. Marx,3,57.547 m²,"Okt-März: 6:30-18:30, Apr-Sep: 6:30-20:00",Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906286,1906286,POINT (16.38968572811178 48.199606713826626),Haubenstock-Ramati-Park,3,2.070 m²,0:00-24:00,Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906287,1906287,POINT (16.38591514159891 48.186480819621075),Schweizergarten,3,115.249 m²,0:00-24:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906288,1906288,POINT (16.376382973131314 48.19831988346301),PA Schwarzenbergplatz,3,14.398 m²,0:00-24:00,Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906289,1906289,POINT (16.393137166514922 48.20184257797003),Rochuspark,3,3.665 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906290,1906290,POINT (16.382393187476538 48.1998401742129),Modenapark,3,7.776 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906291,1906291,POINT (16.401430004966244 48.197309928462474),Kardinal-Nagl-Park,3,7.765 m²,Ballspielplatz+Hundezone: 6:15-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906292,1906292,POINT (16.387446491209857 48.206064934851426),Josef-Pfeifer-Park,3,625 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906293,1906293,POINT (16.3991640992306 48.19424548312154),Joe-Zawinul-Park,3,2.108 m²,"Okt-März: 7:15-20:00, Apr-Sep: 7:15-20:15",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906294,1906294,POINT (16.392452738749622 48.20338436676827),Grete-Jost-Park,3,1.776 m²,"Okt-März: 6:15-19:15, Apr-Sep: 6:15-21:25",Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906295,1906295,POINT (16.407933834591834 48.19924720682873),Treppelweg - Erdberger Lände,3,73.764 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906296,1906296,POINT (16.391138520038375 48.20484177385879),Czapkapark,3,2.962 m²,"Okt-März: 6:00-19:00, Apr-Sep: 6:00-20:45",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906297,1906297,POINT (16.403951544529384 48.196066698090064),Bock-Park,3,4.700 m²,Hundezone: 6:00-20:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906298,1906298,POINT (16.40558643319185 48.19205705962822),PA Baumgasse,3,21.449 m²,0:00-24:00,Ja,Nein,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906299,1906299,POINT (16.39123029440804 48.19860128508813),Arenbergpark,3,30.200 m²,"Ballspielkäfig: Okt-März: 6:45-20:15, Apr-Sep: 6:45-20:30",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906300,1906300,POINT (16.394949473010843 48.19661165170807),Alma-Mahler-Werfel-Park,3,1.169 m²,0:00-24:00,Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906301,1906301,POINT (16.37199925926284 48.21841280085705),Wilhelm-Kienzl-Park,2,6.944 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906302,1906302,POINT (16.346899121608853 48.192351922521766),Hubert-Marischka-Park,6,4.412 m²,"Okt-März:6:30-21:00, Apr-Sep:6:30-21:30",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906303,1906303,POINT (16.352526811395673 48.194185784848855),Helene-Heppe-Park,6,500 m²,"Okt-März: 7:00-19:30, Apr-Sep: 7:00-20:30",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906304,1906304,POINT (16.33942525730578 48.189587076118094),Fritz-Imhoff-Park,6,4.329 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906305,1906305,POINT (16.352181899859435 48.19756515411253),Esterházypark,6,11.247 m²,"Ballspielkäfig: Okt-März: 8:00-21:30, Apr-Sep: 8:00-21:45",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906306,1906306,POINT (16.361599077000086 48.198317690060904),Alfred-Grünwald-Park,6,9.230 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906307,1906307,POINT (16.242914574210612 48.22244236066098),PA Eichbachgasse,14,7.733 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906308,1906308,POINT (16.30225375363385 48.1923683580385),Eduard-Gurk-Park,14,2.174 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906309,1906309,POINT (16.25215394075718 48.218058801115674),PA Dostgasse,14,1.608 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906310,1906310,POINT (16.268806753759023 48.19611500296124),PA Cossmanngasse,14,12.988 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906311,1906311,POINT (16.24314282017624 48.20433888566245),PA Bierhäuselberggasse,14,5.356 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906312,1906312,POINT (16.304361714738448 48.20877672475751),PA Joachimsthalerplatz,16,1.127 m²,0:00-24:00,Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906313,1906313,POINT (16.332815079973223 48.213363404396134),Huberpark,16,4.586 m²,"März-Nov: 06:00-22:00, Dez-Feb: keine Sperre",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906314,1906314,POINT (16.333286886844522 48.20869945576192),PA Hofferplatz,16,2.453 m²,"Ballspielkäfig: März-Nov: 08:00-20:30, Dez-Feb: keine Sperre",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906315,1906315,POINT (16.313084814877037 48.20925385376452),PA Hettenkofergasse,16,2.016 m²,"Ballspielkäfig: März-Nov: 07:00-20:00, Dez-Feb: keine Sperre",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906316,1906316,POINT (16.313025487498855 48.220317050529694),Else-Federn-Park,16,4.665 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906317,1906317,POINT (16.331916141217363 48.21060029209479),Leon-Askin-Park,16,1.439 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906318,1906318,POINT (16.318335750722607 48.21456642587851),PA Familienplatz,16,3.610 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906319,1906319,POINT (16.30234551479069 48.22108312560707),PA Baumeistergasse,16,2.489 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906320,1906320,POINT (16.319062827218296 48.1939334183556),PA Wieningerplatz,15,2.554 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906321,1906321,POINT (16.325106499458848 48.199463757187175),PA Tannhäuserplatz,15,370 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906322,1906322,POINT (16.33483276748282 48.187773523682374),Sechshauser Park,15,3.709 m²,"Ballspielkäfig+Spielplatz: Okt-März: 06:30-21:00, Apr-Sep: 06:30-22:00",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906323,1906323,POINT (16.314927739400293 48.206430853841525),Rohrauerpark,15,9.731 m²,"Ballspielkäfig+Hundezone: Nov-März: 06:00-21:00, Apr-Okt: 06:00-22:00",Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906324,1906324,POINT (16.31730799809629 48.20073360127043),PA Neusserplatz,15,613 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906325,1906325,POINT (16.33537696010035 48.20174526372629),Märzpark,15,14.518 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906326,1906326,POINT (16.320906265552967 48.190417409437785),PA Winckelmannstraße,15,1.860 m²,0:00-24:00,Nein,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906327,1906327,POINT (16.315436481338093 48.2041278660798),PA Mareschplatz,15,757 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906328,1906328,POINT (16.31714480956194 48.1868697494757),PA Linke Wienzeile,15,7.145 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906329,1906329,POINT (16.32889534599724 48.202438110997875),PA Kriemhildplatz,15,1.085 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906330,1906330,POINT (16.33273610298308 48.18926496359663),Herklotzpark,15,879 m²,"Nov-März: 8:00-19:00, Apr-Okt: 08:00-20:00",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906331,1906331,POINT (16.295076486608465 48.23064529615345),Schrammelpark,17,1.837 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906332,1906332,POINT (16.29885996622774 48.23017522640475),Alexander-Lernet-Holenia-Park,17,911 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906333,1906333,POINT (16.33530014881183 48.213462790527416),PA Yppenplatz,16,4.202 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906334,1906334,POINT (16.308207881622888 48.20940349722128),PA Wiesberggasse,16,2.559 m²,"Ballspielkäfig: März-Nov: 07:00-21:00, Dez-Feb: keine Sperre",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906335,1906335,POINT (16.316909466311525 48.221503258725434),PA Stöberplatz,16,3.771 m²,"Ballspielkäfig: März-Nov: 07:00-21:00, Dez-Feb: keine Sperre",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906336,1906336,POINT (16.309326508858096 48.21267095089393),PA Stillfriedplatz,16,4.000 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906337,1906337,POINT (16.319120334220173 48.21044943741203),PA Schuhmeierplatz,16,2.500 m²,"Ballspielkäfig: März-Nov: 07:00-21:00, Dez-Feb: keine Sperre",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906338,1906338,POINT (16.30197984526265 48.22324646975112),PA Spinozagasse,16,3.535 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906339,1906339,POINT (16.2983469917446 48.22395703958551),PA Heiderichstraße,16,2.323 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906340,1906340,POINT (16.32745350007591 48.20981994828749),Richard-Wagner-Park,16,4.337 m²,"Ballspielkäfig: März-Nov: 07:00-21:00, Dez-Feb: keine Sperre",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906341,1906341,POINT (16.2861479945166 48.21261352500591),PA Hansl-Schmid-Weg,16,900 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906342,1906342,POINT (16.33108154440024 48.19807792150751),Reithofferpark,15,10.653 m²,Hundezone: 6:00-22:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906343,1906343,POINT (16.306551272535486 48.22052234777184),PA Nietzscheplatz,16,1.887 m²,0:00-24:00,Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906344,1906344,POINT (16.30753615907584 48.21588873575634),PA Musilplatz,16,3.334 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906345,1906345,POINT (16.334150372143345 48.205729342046006),Arik-Brauer-Park,16,3.507 m²,"Ballspielkäfig: März-Nov: 07:00-21:30, Dez-Feb: keine Sperre",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906346,1906346,POINT (16.328314010854704 48.173693583022896),Edelsinnstraße Hundezone,12,1.785 m²,0-24:00 Uhr,Nein,Nein,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906347,1906347,POINT (16.37188749668527 48.2166497604167),Jonny-Moser-Park,1,410 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906348,1906348,POINT (16.41807866697285 48.181447439306154),PA Schütte-Lihotzky-Weg,11,1.069 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906349,1906349,POINT (16.390790846431727 48.223052970842694),Franziska-Löw-Park,2,6.644 m²,0:00-24:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906350,1906350,POINT (16.339332801150743 48.19626229935679),Ohrfandlpark,7,1.234 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906351,1906351,POINT (16.330679320807818 48.219507053094695),Elfi-Dassanowsky-Park,17,220 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906352,1906352,POINT (16.42132892809077 48.2008482594453),Prater - Rosenbachl,2,157.886 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906353,1906353,POINT (16.389296173180934 48.29380391686455),Schulbrüderpark,21,972 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906354,1906354,POINT (16.332397974800976 48.252506012551144),Zeßner-Spitzenberg-Park,19,1.269 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906355,1906355,POINT (16.382287451092793 48.17183093874013),PA Laaer-Berg-Straße,10,569 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906356,1906356,POINT (16.39703164052524 48.14606422552595),PA Gartensteg,10,3.422 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906357,1906357,POINT (16.361493112834616 48.259601574800094),PA Zahnradbahnstraße,19,543 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906358,1906358,POINT (16.33904793784647 48.19412402064807),GA Mariahilfer Gürtel,15,320 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906359,1906359,POINT (16.384443209742855 48.275283322794145),PA Tomaschekstraße,21,1.368 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906360,1906360,POINT (16.45995947585868 48.26066362437243),PA Tillmanngasse,22,3.889 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906361,1906361,POINT (16.31278201872579 48.199153770622864),Hilde-Sochor-Park,14,87 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906362,1906362,POINT (16.260600934490864 48.14085784783038),PA Rodauner Straße,23,4.341 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906363,1906363,POINT (16.37148234116734 48.18246989505592),Walter-Kuhn-Park,10,6.268 m²,,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906364,1906364,POINT (16.341321944986912 48.25603665515071),PA Ortskern Grinzing,19,1.375 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906365,1906365,POINT (16.361997085292792 48.212480316723465),PA Mölker Bastei,1,107 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906366,1906366,POINT (16.335822349420788 48.24848739629703),PA Leopold-Steiner-Gasse,19,545 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906367,1906367,POINT (16.482916444078032 48.282321207845364),PA Landaugasse,22,245 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906368,1906368,POINT (16.401057588748944 48.257757497990994),PA Kramreiterweg,21,892 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906369,1906369,POINT (16.262722434696066 48.13312585944093),PA Ketzergasse,23,945 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906370,1906370,POINT (16.40391637027464 48.139307271232944),PA Kästenbaumgasse,10,1.450 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906371,1906371,POINT (16.388898844722487 48.20136953921485),PA Karl-Borromäus-Platz,3,293 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906372,1906372,POINT (16.4303913932532 48.275653496501626),PA Gaswerkpark,21,8.115 m²,00:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
